Minggu Ke-,Kurs Jual Rataan
453,15711.366
454,15829.556
455,15977.89
456,16154.972
457,16304.518
458,16289.644
459,16155.578
460,16079.196
461,16193.968
462,16332.658
463,16358.588
464,16492.25
465,16478.784
466,16419.492
467,16294.066
468,16264.72
469,16336.476
470,16330.246
471,16102.514
472,15792.566
473,15567.25
474,15558.004
475,15532.274
476,15482.226
477,15298.912
478,15225.548
479,15574.888
480,15680.01
481,15586.144
482,15744.534
483,15814.074
484,15823.924
485,15920.606
486,15980.506
487,15985.93
488,15955.38
489,16099.092
490,16314.166
491,16273.964
492,16297.682
493,16421.502
494,16359.992
495,16435.368
496,16438.586
497,16375.268
498,16429.136
499,16524.212
500,16476.572
501,16524.612
502,16650.44
503,16913.952
504,16916.764
505,16932.644
506,16602.2
507,16593.756
508,16457.074
509,16350.746
510,16353.362
511,16394.97
512,16437.378
513,16295.474
514,16315.168
515,16370.648
516,16390.144
517,16498.08
518,16434.968
